company_id,name,website,firms
30b14ec2-fc53-4b77-9234-1ad5e1e4de0d,Titan,http://www.titan.com,Y Combinator
34f57768-df8f-44e0-b97f-91fda182e227,Canary Technologies,https://www.canarytechnologies.com,Y Combinator
55960ee5-4347-4a20-a0b1-9717e10f4740,David AI,https://www.withdavid.ai/,Y Combinator
b1c31a06-e877-44eb-a147-4baaa76b1e03,Diode Computers,https://diode.computer,Y Combinator
e66fed1f-95b0-432a-bad7-4b01b6e31912,Prometheus,http://www.prometheusfuels.com,Y Combinator
fabcacc4-f3bc-4d88-9513-e406ce5f1e72,Exa,https://exa.ai,Y Combinator
0ad3e068-833c-43f9-bb95-100581e234a7,99minutos,https://99minutos.com,Y Combinator
2b63e278-5b36-4f8c-833b-c745201910f2,Waterplan,http://waterplan.com,Y Combinator
857b027e-65a6-4a03-9f18-a9122c58cf4b,Ubicloud,https://www.ubicloud.com,Y Combinator
b5b18822-b451-4e03-8889-7c572e35c992,Infisical,https://infisical.com,Y Combinator
a6ee770d-67c0-4fdc-9cac-979a233571f7,Nectar,https://nectarclimate.com,Y Combinator
f5afc4c2-af27-43b5-982b-a7cc42a2ef99,Apptentive *,http://apptentive.com,GV
5ebe923f-ee9a-4181-a224-e45afc4cf1aa,Stepful,https://www.stepful.com,Y Combinator
c8b7fcfd-055d-43f6-b37d-f2a66b17c86b,Automat,https://www.runautomat.com/,Y Combinator
4a680876-1273-49a2-aec0-702ef5f45273,Ajaib,https://www.ajaib.co.id/,Y Combinator
f311e615-a0a4-4fe9-ba68-c379bd924c43,Encord,https://encord.com,Y Combinator
7e2c76b8-0182-44b6-b65a-2f334c2740bb,Oneleet,https://www.oneleet.com/?utm_source=yc&utm_medium=bookface,Y Combinator
e5183cfb-a16a-4077-bb5f-d7f6b3fe71b9,treble.ai,https://treble.ai,Y Combinator
16ed71c1-fa32-4f6f-b006-fbf806727cf2,Zip,https://ziphq.com/,Y Combinator
d4284db1-2a38-4fc4-80a9-2a1f2b858d60,Proof Trading,https://prooftrading.com,Y Combinator
771ceb4a-da5a-4c5f-aed5-f65775b79d50,Nextdoor *,http://nextdoor.com,GV
becb8ee7-8699-454f-835d-7666e1270485,Vitara Biomedical,https://vitara.com,GV
25fce321-6bdf-419d-9398-43d66c61f84f,Alethea,https://alethea.com/,GV
e167d5b0-a628-4f78-8a98-d4c88897dc72,NoRedInk,http://noredink.com,GV
57ddf5cd-166f-4846-a403-c5fd0a2e305e,Salient,https://www.trysalient.com,Y Combinator
8c9d7db3-3c93-49db-88d4-ef8db9b32a02,GrowthBook,https://www.growthbook.io,Y Combinator
e0f6b5eb-4b93-464d-885f-13249dc4ecff,TigerEye,http://tigereye.com/,Y Combinator
c5c82c3d-3632-49ae-b4a2-5f7de9916535,Hatchet,https://hatchet.run,Y Combinator
88f96a80-9b30-421a-b97f-221c91523000,Snorkel AI,http://snorkel.ai,GV
97bf6af9-c0c4-4407-8722-b222b682ad84,Neo.Tax,http://neo.tax,GV
69db0b48-f51f-4787-a308-295d070df5ea,Yuga Labs,http://yuga.com,GV
d7ef5e89-77b2-48af-b916-31a9f445df9e,Q.ai *,https://www.q.ai,GV
1be23d2f-fd38-44cb-b95f-ba6dec383c18,Pager,https://www.pager.xyz/,GV
5463315b-fa0f-4926-bda5-7768303571f2,Continua,https://www.continua.ai,GV
f65a70a2-829c-4d79-bd99-42e3205362ee,Powder,https://www.powderfi.com/,Y Combinator
7ba48917-c39d-4f03-a2bb-b2ce744490eb,Crustdata,https://crustdata.com,Y Combinator
ea9896fd-119f-4f0b-9e22-fc55e84fbfd8,Blue Frog Gaming,http://bluefroggaming.com,Y Combinator
a44749f5-1182-4ea6-bebc-71f2243be75a,Spur,https://www.spurtest.com/,Y Combinator
6d012357-a6d3-431e-9cad-a7ee7813372c,Ember,https://www.embercopilot.ai,Y Combinator
ab945f76-52e8-46d3-b435-5a138c871cff,firsthand,https://www.firsthandcares.com/,GV
d885eab4-34ba-4e54-97b2-5113351d3f6d,DNAnexus,http://dnanexus.com,GV
66aa1a94-7eb8-4134-bbcc-a0abe3330396,Omni Analytics,exploreomni.com,GV
1a8813d7-55ad-4df5-8e6f-91a2533b5ee3,About.me *,http://about.me,GV
